Country,Country Code,Region,Year,Output-side real GDP,Average annual hours,Number of persons engaged,Productivity,CPI score,Life Expectancy,Health Care Index,Crime Rate,Quality of Life Index,Development,Human Capital Index
Argentina,ARG,AME,2019,977420.5625,1609.068998,20.64321518,29.42588033,45,76.667,69.39,62.55,122.49,LDC,3.096804
Australia,AUS,AP,2019,1364677.75,1726.797659,12.86317444,61.43848534,77,83.436,76.38,42.76,191.13,MDC,3.549666
Austria,AUT,WE/EU,2019,477705.5,1611.374223,4.550281048,65.15167835,77,81.544,79.19,21.37,191.05,MDC,3.381046
Belgium,BEL,WE/EU,2019,517419.75,1586.430997,4.921936512,66.26524492,75,81.628,79.44,42.46,162.09,MDC,3.149034
Bulgaria,BGR,WE/EU,2019,149432.4219,1645.246464,3.420418501,26.55428562,43,75.046,54.04,40,130.59,LDC,3.186015
Brazil,BRA,AME,2019,3080048.5,1707.795058,93.95682526,19.19523657,35,75.881,54.64,70.24,100.33,LDC,3.091373
Canada,CAN,AME,2019,1866214.875,1689.280933,19.29866219,57.24434132,77,82.434,70.99,39.51,170.32,MDC,3.721066
Switzerland,CHE,WE/EU,2019,646919.625,1556.882844,5.01120472,82.91865482,85,83.779,72.68,21.5,195.93,MDC,3.702678
Chile,CHL,AME,2019,440683.3438,1914.4,8.100071907,28.41875685,67,80.181,65.5,46.81,124.14,LDC,3.145769
China,CHN,AP,2019,20257660,2168.918848,798.8077393,11.69240126,41,76.912,64.03,45.46,97.92,LDC,2.698987
Colombia,COL,AME,2019,707659.625,1968.367262,21.19960785,16.95861799,37,77.287,67.51,51.26,108.36,LDC,2.598787
Cyprus,CYP,WE/EU,2019,28053.96875,1805.239785,0.366567165,42.39414222,58,80.982,50.17,29.31,157.57,MDC,2.904392
Czech Republic,CZE,WE/EU,2019,401072.2188,1787.543402,5.481432438,40.93284394,56,79.376,74.71,26.66,158.79,MDC,3.674304
Germany,DEU,WE/EU,2019,4275312,1386.196834,44.79519653,68.8511922,80,81.326,74.32,34.51,187.05,MDC,3.675378
Denmark,DNK,WE/EU,2019,311838,1380.607643,2.971836567,76.0035435,87,80.898,79.41,24.25,198.57,MDC,3.599265
Spain,ESP,WE/EU,2019,1886595.25,1685.951506,19.87201309,56.31081247,62,83.565,77.77,32.46,174.16,MDC,2.985405
Estonia,EST,WE/EU,2019,44876.34766,1797.214536,0.67297554,37.10379243,74,78.745,72.12,20.8,180.88,MDC,3.659491
Finland,FIN,WE/EU,2019,248551.5469,1590.694538,2.673705339,58.44079795,86,81.908,73.49,22.8,194.01,MDC,3.504452
France,FRA,WE/EU,2019,2946958.25,1504.912353,28.53256416,68.63126022,69,82.659,78.55,46.39,157.83,MDC,3.230137
United Kingdom,GBR,WE/EU,2019,2989895.5,1667.947711,32.98249817,54.34880892,77,81.321,74.71,42.72,170.81,MDC,3.773596
